time,acceleration,v,x,y,yaw,x_ref_dev,reasons_policymaker,reasons_driver,reasons_cyclist
0.0,0.0,1.3888888888888888,1.5,-22.0,1.5707963267948966,0.0,1,1,0.9700268578698875
0.1,1.4046042848253065e-10,1.388888888902935,1.5,-21.86111111111111,1.5707963267948966,1.0164568432890641e-17,1,1,0.9700268578698875
0.2,-3.913922006288231e-11,1.388888888899021,1.5,-21.722222222220818,1.5707963267948966,3.3201535443389455e-18,1,1,0.9700268578696194
0.30000000000000004,-3.4201978586748515e-11,1.3888888888956008,1.5,-21.583333333330916,1.5707963267948966,2.2207257145882963e-16,1,1,0.970026857869426
0.4,6.114590518743711e-11,1.3888888889017155,1.5,-21.444444444441356,1.5707963267948968,2.0410780021751934e-19,1,1,0.9700268578692974
0.5,-4.972246405601902e-12,1.3888888889012183,1.5,-21.305555555551184,1.5707963267948968,3.116045744095756e-18,1,1,0.9700268578690524
0.6000000000000001,-4.729893763060946e-11,1.3888888888964883,1.5,-21.16666666666106,1.570796326794897,3.7283691446369335e-18,1,1,0.9700268578688167
0.7000000000000001,3.3954459384198884e-11,1.3888888888998838,1.5,-21.027777777771412,1.5707963267948972,2.2204498016458217e-16,1,1,0.9700268578686716
0.8,3.689934325394358e-11,1.3888888889035738,1.5,-20.888888888881425,1.5707963267948974,2.9119379438173254e-18,1,1,0.9700268578684618
0.9,-6.119272445710308e-11,1.3888888888974544,1.4999999999999998,-20.74999999999107,1.570796326794897,3.932476944874031e-18,1,1,0.9700268578681815
1.0,6.863997748145705e-12,1.3888888888981408,1.4999999999999998,-20.611111111101323,1.570796326794897,2.220454492131291e-16,1,1,0.9700268578680179
1.1,-7.919444900336431e-12,1.3888888888973487,1.4999999999999998,-20.47222222221151,1.570796326794897,2.707830143552382e-18,1,1,0.9700268578678415
1.2000000000000002,-3.21852648481724e-11,1.3888888888941302,1.4999999999999998,-20.333333333321775,1.570796326794897,2.2208313287970984e-16,1,1,0.9700268578676798
1.3,6.6680283206349e-11,1.3888888889007982,1.4999999999999998,-20.194444444432364,1.5707963267948972,2.220461058794301e-16,1,1,0.9700268578675799
1.4000000000000001,-2.1199858959421063e-11,1.3888888888986781,1.4999999999999998,-20.055555555542284,1.570796326794897,4.440962676389274e-16,1,1,0.9700268578673524
1.5,-4.103655808761478e-11,1.3888888888945745,1.4999999999999998,-19.916666666652418,1.5707963267948968,2.2208702841022944e-16,1,1,0.970026857867166
1.6,-8.928482617238725e-12,1.3888888888936817,1.4999999999999998,-19.77777777776296,1.5707963267948966,2.220469501618203e-16,1,1,0.9700268578670571
1.7000000000000002,8.367450398852829e-12,1.3888888888945183,1.4999999999999998,-19.63888888887359,1.5707963267948966,4.440951638244897e-16,1,1,0.9700268578669654
1.8,-2.2471733800022793e-11,1.3888888888922712,1.4999999999999998,-19.49999999998414,1.5707963267948968,4.4411246494039385e-16,1,1,0.9700268578668583
1.9000000000000001,6.436817453477168e-11,1.388888888898708,1.4999999999999998,-19.361111111094914,1.570796326794897,4.440908984262575e-16,1,1,0.9700268578667938
2.0,1.8608035686599992e-11,1.3888888889005688,1.4999999999999998,-19.222222222205044,1.5707963267948972,2.220544926922755e-16,1,1,0.9700268578666067
2.1,-5.506125317706064e-11,1.3888888888950628,1.4999999999999998,-19.083333333314986,1.5707963267948972,2.2209538199811263e-16,1,1,0.970026857866383
2.2,3.084732095951126e-11,1.3888888888981474,1.4999999999999998,-18.94444444442548,1.5707963267948974,2.2204920156583306e-16,1,1,0.9700268578662647
2.3000000000000003,2.0234007462554245e-11,1.388888888900171,1.4999999999999996,-18.805555555535665,1.5707963267948974,4.440932376148217e-16,1,1,0.9700268578660883
2.4000000000000004,-5.543151017807807e-11,1.3888888888946278,1.4999999999999993,-18.66666666664565,1.5707963267948974,6.661522285137065e-16,1,1,0.9700268578658733
2.5,7.091847893675645e-12,1.388888888895337,1.4999999999999991,-18.52777777775619,1.5707963267948972,8.88179920658328e-16,1,1,0.970026857865764
2.6,2.6919185040204865e-11,1.3888888888980289,1.4999999999999991,-18.388888888866656,1.5707963267948968,1.1102243067773428e-15,1,1,0.970026857865641
2.7,-6.0979771315082205e-12,1.3888888888974191,1.4999999999999991,-18.249999999976854,1.5707963267948966,1.3322770399768852e-15,1,1,0.9700268578654666
2.8000000000000003,-6.718887007954779e-12,1.3888888888967472,1.4999999999999991,-18.111111111087112,1.5707963267948961,8.881803193499243e-16,1,1,0.9700268578653036
2.9000000000000004,4.212844373109938e-12,1.3888888888971684,1.4999999999999991,-17.972222222197438,1.5707963267948961,1.1102240153413448e-15,1,1,0.9700268578651537
3.0,9.168808604029404e-11,1.3888888889063373,1.4999999999999991,-17.83333333330772,1.570796326794896,1.3322762884599146e-15,1,1,0.9700268578649955
3.1,-6.725660825949362e-11,1.3888888888996116,1.4999999999999991,-17.694444444417087,1.570796326794896,1.3322691930487192e-15,1,1,0.9700268578646619
3.2,-1.240722208757744e-11,1.3888888888983708,1.4999999999999991,-17.555555555527125,1.5707963267948957,8.881793407050487e-16,1,1,0.9700268578644572
3.3000000000000003,3.1794503540273446e-11,1.3888888889015503,1.4999999999999993,-17.416666666637287,1.570796326794896,8.881903276489804e-16,1,1,0.970026857864276
3.4000000000000004,-2.4576690973090642e-11,1.3888888888990927,1.4999999999999993,-17.277777777747133,1.570796326794896,8.88181257447092e-16,1,1,0.9700268578640341
3.5,-1.1491992891408525e-11,1.3888888888979434,1.4999999999999993,-17.138888888857224,1.570796326794896,8.881790702198845e-16,1,1,0.9700268578638394
3.6,2.846518356742682e-11,1.38888888890079,1.4999999999999993,-16.99999999996743,1.5707963267948957,8.881892941891012e-16,1,1,0.9700268578636659
3.7,-2.732282345955834e-11,1.3888888888980577,1.4999999999999996,-16.86111111107735,1.570796326794896,8.88181796852515e-16,1,1,0.9700268578634389
3.8000000000000003,3.4121541274159145e-11,1.3888888889014699,1.4999999999999996,-16.722222222187543,1.5707963267948961,8.881788466396e-16,1,1,0.9700268578632635
3.9000000000000004,1.3901677388203567e-11,1.38888888890286,1.4999999999999996,-16.583333333297396,1.5707963267948963,6.661469986278255e-16,1,1,0.9700268578630232
4.0,-4.220190494460233e-11,1.38888888889864,1.4999999999999996,-16.44444444440711,1.5707963267948963,6.661390993822704e-16,1,1,0.9700268578627566
4.1000000000000005,5.679519101031854e-12,1.388888888899208,1.4999999999999996,-16.305555555517248,1.5707963267948961,6.661341484605315e-16,1,1,0.9700268578625705
4.2,1.8098609796023665e-11,1.3888888889010178,1.4999999999999996,-16.16666666662733,1.570796326794896,6.661457457672209e-16,1,1,0.9700268578623736
4.3,-3.634760510340987e-11,1.388888888897383,1.4999999999999996,-16.027777777737228,1.5707963267948963,6.661399436647404e-16,1,1,0.970026857862142
4.4,6.999463945254183e-11,1.3888888889043824,1.4999999999999996,-15.88888888884749,1.5707963267948963,4.44089450837373e-16,1,1,0.9700268578619797
4.5,-4.434083553098006e-11,1.3888888888999484,1.4999999999999996,-15.749999999957051,1.5707963267948961,8.881864752296417e-16,1,1,0.9700268578616837
4.6000000000000005,-3.37070408855005e-11,1.3888888888965778,1.4999999999999996,-15.611111111067057,1.5707963267948963,6.661408504854609e-16,1,1,0.9700268578614725
4.7,6.024201500994056e-11,1.388888888902602,1.4999999999999996,-15.472222222177399,1.5707963267948966,4.44089285106493e-16,1,1,0.9700268578613257
4.800000000000001,8.238573417527856e-11,1.3888888889108406,1.4999999999999996,-15.333333333287138,1.5707963267948963,8.881856293837108e-16,1,1,0.9700268578610638
4.9,-9.056944271483172e-11,1.3888888889017836,1.4999999999999996,-15.194444444396053,1.5707963267948961,4.441012173635022e-16,1,1,0.970026857860644
5.0,1.4052863466877399e-11,1.388888888903189,1.4999999999999996,-15.055555555505874,1.570796326794896,1.1102230259593424e-15,1,1,0.9508190391466826
5.1000000000000005,5.120454132593073e-11,1.3888888889083093,1.4999999999999996,-14.916666666615555,1.5707963267948961,8.881848304416198e-16,1,1,0.9319915607261196
5.2,-8.007499324885926e-11,1.3888888889003017,1.4999999999999996,-14.777777777724724,1.5707963267948961,8.881851974443792e-16,1,1,0.9135368913564853
5.300000000000001,-2.5252058554485462e-11,1.3888888888977764,1.4999999999999996,-14.638888888834694,1.570796326794896,8.88178432312355e-16,1,1,0.8954476489242033
5.4,1.020949078382872e-10,1.3888888889079858,1.4999999999999996,-14.499999999944917,1.570796326794896,8.881840784034964e-16,1,1,0.877716597491004
5.5,-8.056097345837309e-11,1.3888888888999298,1.4999999999999996,-14.361111111054118,1.570796326794896,8.881860182749476e-16,1,1,0.8603366443996776
5.6000000000000005,3.328397477337333e-11,1.3888888889032582,1.4999999999999996,-14.222222222164126,1.5707963267948961,8.881784901618335e-16,1,1,0.8433008374375667
5.7,2.7353296586005207e-11,1.3888888889059936,1.4999999999999996,-14.0833333332738,1.5707963267948961,8.881833732694596e-16,1,1,0.8266023620545445
5.800000000000001,-7.269513952296078e-11,1.388888888898724,1.4999999999999996,-13.9444444443832,1.5707963267948961,1.1102297976841138e-15,1,1,0.8102345386378218
5.9,3.5980982600881186e-11,1.388888888902322,1.4999999999999996,-13.805555555493328,1.5707963267948961,8.881785949162837e-16,1,1,0.7941908198399502
6.0,-3.9454573092221546e-11,1.3888888888983766,1.4999999999999996,-13.666666666603096,1.570796326794896,8.88182715039621e-16,1,1,0.7784647879593176
6.1000000000000005,-3.670878677730784e-11,1.3888888888947057,1.4999999999999996,-13.527777777713258,1.5707963267948963,6.661463226532652e-16,1,1,0.7630501523736051
6.2,5.342703137872063e-11,1.3888888889000484,1.4999999999999996,-13.388888888823788,1.5707963267948966,8.881787465756891e-16,1,1,0.7479407470230395
6.300000000000001,-1.6361155649067343e-11,1.3888888888984123,1.4999999999999996,-13.249999999933783,1.5707963267948966,8.881821037140851e-16,1,1,0.7331305279438859
6.4,-3.907054534761485e-11,1.3888888888945052,1.4999999999999996,-13.111111111043941,1.5707963267948966,1.1102312986334147e-15,1,1,0.7186135708511432
6.5,-8.588679269093551e-12,1.3888888888936464,1.4999999999999996,-12.97222222215449,1.5707963267948963,8.881789451400253e-16,1,1,0.7043840687684426
6.6000000000000005,1.0445089007210825e-11,1.3888888888946909,1.4999999999999996,-12.833333333265125,1.5707963267948963,8.881815392929486e-16,1,1,0.6904363297051767
6.7,1.999999999983279,1.5888888888930188,1.4999999999999996,-12.694444444375657,1.5809077526877962,0.00024167992280813418,1,1,0.6767647743797229
6.800000000000001,1.9999999999510416,1.788888888888123,1.4983934341512488,-12.53556367789132,1.5842653069965524,0.00028867611525185865,1,1,0.6607933346743651
6.9,1.9999999999353137,1.9888888888816543,1.495984056098973,-12.356691015180454,1.5888388017345607,0.00042823814640541817,1,1,0.642681618528451
7.0,1.999999999852419,2.188888888866896,1.4923958029940363,-12.15783449765381,1.595306976363111,0.0005400519291810507,1,1,0.6226384071006807
7.1000000000000005,1.9999999999764162,2.3888888888645377,1.4870312313291663,-11.939011356626857,1.603361525595622,0.0008793400849064078,1,1,0.6008944519993051
7.2,1.9999999998887648,2.5888888888534143,1.4792531421085284,-11.700249126444861,1.6123849359998255,0.0006757134721539533,1,1,0.5776940528567145
7.300000000000001,1.9999999998040883,2.788888888833823,1.4684894167529114,-11.44158409400956,1.6222224677894934,0.0017041700497647501,1,1,0.5532883515555299
7.4,1.9275847698082673,2.98164736581465,1.4541535582647476,-11.163063905326558,1.632660805826629,0.0016373112668044527,1,1,0.527933102501916
7.5,1.8707574811941194,3.1687231139340617,1.4357195159263232,-10.865469556886001,1.6437824364312716,0.0006510966662665778,1,1,0.5019541343667022
7.6000000000000005,1.9999999991549626,3.368723113849558,1.4126127662584778,-10.549440855898911,1.655785327143279,0.0028657450937233883,1,1,0.4756449594901912
7.7,1.9999999997118734,3.568723113820745,1.3840167797234142,-10.213784448643025,1.668810732595627,0.004966822725404059,1,1,0.44912167935300384
7.800000000000001,1.9999999998456872,3.768723113805314,1.3490941308658746,-9.858624970059168,1.682826021791502,0.004865004504796572,1,1,0.4226249897840258
7.9,1.9999999992601467,3.968723113731329,1.3069615019846488,-9.484115182912209,1.697355887473304,0.0014746141825613234,1,1,0.39638375296054124
8.0,1.9999999999516382,4.168723113726493,1.2568674955734678,-9.090417047208813,1.7113246011172234,0.006328973652169685,1,0.9801986733067579,0.37060793934360037
8.1,1.9999999992372883,4.368723113650222,1.1984777746870912,-8.677654204302641,1.7224472350040174,0.004800951060215142,1,0.9607894391523257,0.34547922209462256
8.200000000000001,1.999999999317171,4.568723113581939,1.1324793442574064,-8.245795866860563,1.728328215840238,0.006579258803722172,1,0.9417645335842513,0.32113390657193536
8.3,1.999999999793412,4.76872311356128,1.0608046964203672,-7.79458078096115,1.7273342580787245,0.0075886841874221915,1,0.9231163463866383,0.2976585550937794
8.4,1.9999999999665903,4.968723113557939,0.986460584452864,-7.323539217663495,1.7187997139449962,0.0019301046404235217,0.9972957798989611,0.9048374180359622,0.27509943382185464
8.5,1.9999999998867302,5.168723113546612,0.9131899833737495,-6.832098974287401,1.7048985091902409,0.009482299744530692,0.9827878477628246,0.88692043671716,0.2534779735462304
8.6,1.9999999998209401,5.368723113528706,0.8440838409724167,-6.319867261751447,1.6868849324134596,0.009167561329682408,0.9692979505899083,0.8693582353988084,0.23282920575305502
8.700000000000001,1.9999999997454199,5.568723113503248,0.7818989759238589,-5.786608486618523,1.6660252978118841,0.004061634268723822,0.9573174730044979,0.8521437889662139,0.21319192899089978
8.8,1.999999999552671,5.768723113458515,0.7289487138900668,-5.232259281785319,1.6437881383665542,0.004457276701054147,0.947232922999683,0.8352702114112747,0.19460898354736544
8.9,1.999999999602885,5.968723113418804,0.6868791384849385,-4.65692301974134,1.6213392374104143,0.0016554313579869556,0.9392964209719793,0.8187307530779845,0.1771290752359343
9.0,1.9999999999795697,6.168723113416761,0.6567243172777758,-4.0608129268855295,1.6003280886298823,0.0012176949221311794,0.9336486058492819,0.802518797962481,0.1608033456586151
9.1,1.999999999958525,6.368723113412614,0.6385096389453065,-3.444209590863686,1.583951279382079,0.0012940831491538756,0.9302535717430969,0.786627861066556,0.14569221994537623
9.200000000000001,1.999999999684955,6.568723113381109,0.6301318555235168,-2.807392384988956,1.5742261867071408,0.0013302300780784664,0.9286961842626789,0.7710515858035689,0.1318861536841018
9.3,1.9999999998984126,6.7687231133709505,0.6278788799327124,-2.1505239373499636,1.5698989666251997,0.0020306051575812445,0.9282778125609973,0.755783741455728,0.1195042285164297
9.4,1.9999999998421296,6.968723113355163,0.6284862781033586,-1.4736518985403495,1.5687762228141664,0.004283580747193372,0.9283905862597527,0.7408182206817205,0.10867953012691652
9.5,1.9999999995739546,7.168723113312558,0.6298940316760828,-0.7767810091096148,1.5691310692766496,0.0036761825767558376,0.928652012093279,0.7261490370736936,0.09957317071972328
9.600000000000001,1.9999999999646143,7.36872311330902,0.63108780813041,-0.059909691751196426,1.5698261736145127,0.002268429005478634,0.9288737591451266,0.7117703227626123,0.0924000539029913
9.700000000000001,1.9999999996612963,7.56872311327515,0.6318026870346442,0.6769622728086572,1.5702931559985944,0.0010746525510096916,0.929006575090654,0.6976763260710337,0.08743173545008942
9.8,1.999999999870742,7.768723113262224,0.6321835230621639,1.4338344883233867,1.5704186703002143,0.00035977364692418856,0.9290773376202314,0.6838614092123585,0.08493657235396324
9.9,1.9999999997465605,7.96872311323688,0.632476913929101,2.2107067442491255,1.570365909859122,2.106238054999654e-05,0.9291318557808359,0.6703200460356419,0.08505721252209847
10.0,1.9999999993846844,8.168723113175348,0.6328199012569543,3.007578981759035,1.5706402625327678,0.0003144532474154138,0.9291955940574406,0.6570468198150594,0.08773982912362495
10.100000000000001,1.646102199961857,8.333333333171534,0.632947385830956,3.8244512831286768,1.5718167056174928,0.0006574405752087786,0.9292192859803693,0.644036421083144,0.09281905194508781
10.200000000000001,7.403986310373614e-10,8.333333333245575,0.63209707029303,4.657784182623809,1.5744131078074843,0.0007849251493151632,0.9290612734973952,0.6312836455069285,0.10011228002500805
10.3,3.6594426015777636e-10,8.33333333328217,0.6290830926869415,5.491112065493936,1.5746592471186147,6.539038850716938e-05,0.9285014082818691,0.6187833918061435,0.10928749637077967
10.4,-1.6560204415785912e-10,8.333333333265609,0.6258640004231749,6.324439181265957,1.567578806937304,0.003079367994382576,0.9279038143334575,0.606530659712636,0.12024849519820964
10.5,-1.23886865313733e-11,8.33333333326437,0.6285452623448768,7.1577682010820585,1.549296509848902,0.006298460259096417,0.9284015384072656,0.5945205479701969,0.13295094240452482
10.600000000000001,-1.932564622356873e-11,8.333333333262438,0.6464603962036874,7.99090894094044,1.5228557856848994,0.003618937822207234,0.931733992545328,0.5827482523739922,0.14737842538470114
10.700000000000001,2.0918388921952948e-10,8.333333333283356,0.6863955458966452,8.823284834543582,1.490420020969593,0.0021848884064503923,0.93920557800767,0.5712090638488174,0.16358268361712777
10.8,1.5625764530033064e-12,8.333333333283512,0.75330370472197,9.653927804006829,1.4560750548206651,0.0028767555089741544,0.9518581484179374,0.5598983665654045,0.18165608764952124
10.9,9.369318541696076e-11,8.333333333292881,0.848695202198827,10.481783411371582,1.429675103296088,0.003478807531508365,0.9701923195495856,0.5488116360940289,0.20175135109051118
11.0,2.3617993387476137e-10,8.3333333333165,0.9659062689838469,11.306832507038513,1.4200636478871675,0.00947105995349157,0.9932044486966728,0.537944437594677,0.22418023598969677
11.100000000000001,4.0292008065061936e-11,8.333333333320528,1.091041722326588,12.130716942355958,1.4257643782386367,0.01440844511304463,1,0.5272924240430511,0.2494478537292863
